Gene,baseMean,log2FoldChange,pvalue,padj
OTP|23440,173.4239025,6.534564153,1.79435187696704E-12,3.29004309456438E-11
SCNN1B|6338,206.5716005,6.508520376,4.82060628839955E-10,5.60841057580824E-09
HOXC6|3223,109.6679818,6.504189783,1.09941381852352E-12,2.09344453558738E-11
IDO1|3620,55.93387798,6.485705901,2.55869722344189E-07,1.67134137294178E-06
C10orf81|79949,61.17982516,6.445496844,6.50739689587741E-09,6.03467205406631E-08
C1orf158|93190,88.70334593,6.433175338,3.99456441794395E-07,2.49598811330485E-06
HIST1H3F|8968,4.030791844,6.429967945,0.00127806616713676,0.00361475341611452
PITX2|5308,63.5623581,6.394475455,1.47970482711844E-05,6.58712818146494E-05
TLX1|3195,51.29486519,6.378736976,1.91855557115725E-06,1.04069230630068E-05
HOXA13|3209,43.32361212,6.330108831,1.45891795737212E-07,1.00653974176466E-06
HJURP|55355,568.7838096,6.319125214,1.02128082259802E-41,9.38070751766341E-39
HOXB9|3219,22.12367526,6.318914008,3.30056365869252E-06,1.70560274171197E-05
CA3|761,1525.565091,6.302753839,8.85089774728040E-12,1.43950224829082E-10
